,traveled_kilometers,production_year,color,exhibition,adـtype,name_brand,car_name,fuel,engine_status,chassis_status,front_chassis,rear_chassis,body_status,insurance,gearbox,exchange,price
18,93000.0,1397.0,سفید,,,دانگ فنگ H30 کراس,dng fng H30 khrs,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,9.0,اتوماتیک,,565000000.0
19,136000.0,1387.0,خاکستری,,,سمند LX ساده,smnd LX sdh,دوگانه‌سوز شرکتی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,5.0,دنده‌ای,,11111111.0
20,103000.0,1396.0,سفید,,فروشی,رنو تندر 90 E2 بنزینی,rnw tndr 90 E2 bnzyny,بنزینی,سالم,سالم و پلمپ,,,رنگ‌شدگی,,دنده‌ای,هستم,560000000.0
21,130000.0,1395.0,آبی,,فروشی,سمند سورن ELX توربو شارژ,smnd swrn ELX twrbw shrj,بنزینی,سالم,سالم و پلمپ,,,رنگ‌شدگی,6.0,دنده‌ای,,380000000.0
22,154000.0,1390.0,سفید,,,پراید 132 SL,pryd 132 SL,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,2.0,دنده‌ای,هستم,192000000.0
23,150000.0,1391.0,سفید صدفی,,فروشی,پژو پارس سال,pjw prs sl,دوگانه‌سوز شرکتی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,دنده‌ای,,285000000.0
0,169000.0,2013.0,سفید,,,کیا اسپورتیج 2400cc,khy spwrtyj 2400cc,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,4.0,اتوماتیک,هستم,850000000.0
1,200000.0,1388.0,نقره‌ای,,,پراید صندوق‌دار بنزینی,pryd Sndwqdr bnzyny,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,1.0,دنده‌ای,,162000000.0
2,80000.0,1398.0,سفید,,,پژو 206 SD V8,pjw 206 SD V8,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,8.0,دنده‌ای,هستم,435000000.0
3,280000.0,1384.0,سرمه‌ای,,,پراید صندوق‌دار بنزینی,pryd Sndwqdr bnzyny,بنزینی,سالم,,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی,1.0,دنده‌ای,,100000000.0
4,108000.0,1393.0,سفید,,,پراید 111 SE,pryd 111 SE,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,1.0,دنده‌ای,,225000000.0
5,102100.0,2016.0,مشکی,,,هاوال H6,hwl H6,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,اتوماتیک,هستم,11111111.0
6,210000.0,1384.0,اطلسی,,,پراید صندوق‌دار بنزینی,pryd Sndwqdr bnzyny,بنزینی,سالم,,ضربه‌خورده,سالم و پلمپ,خط و خش جزیی,2.0,دنده‌ای,,120000000.0
7,5000.0,1401.0,مشکی,,,فیدلیتی پرایم ۵ نفره,fydlyty prym 5 nfrh,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,8.0,اتوماتیک,,234567890.0
8,26000.0,1400.0,سفید,,,سمند LX EF7 بنزینی,smnd LX EF7 bnzyny,بنزینی,سالم,سالم و پلمپ,,,رنگ‌شدگی,,دنده‌ای,,11111111.0
9,145000.0,1383.0,بژ,,,رنو پی کی,rnw py khy,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,8.0,دنده‌ای,هستم,85000000.0
10,85000.0,1393.0,سفید,,,جک J5 اتوماتیک 1800cc,jkh J5 twmtykh 1800cc,,,سالم و پلمپ,,,سالم و بی‌خط و خش,,,,690000000.0
11,270000.0,1397.0,سفید,,,پراید 131 SE,pryd 131 SE,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,9.0,دنده‌ای,,111111111.0
12,157000.0,1391.0,سفید,,,تیبا صندوق‌دار SX,tyb Sndwqdr SX,بنزینی,سالم,سالم و پلمپ,,,رنگ‌شدگی,1.0,دنده‌ای,,215000000.0
13,23000.0,1400.0,سفید,,,ساینا دنده‌ای SX,syn dndhy SX,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,4.0,دنده‌ای,,290000000.0
14,2000.0,1399.0,آبی,,,زامیاد Z 24 دیزلی,zmyd Z 24 dyzly,گازوئیل,,سالم و پلمپ,,,سالم و بی‌خط و خش,,,,11111111.0
15,2000.0,1401.0,سفید,,,پژو 206 تیپ ۲,pjw 206 typ 2,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,6.0,دنده‌ای,هستم,493000000.0
16,280000.0,1389.0,سفید,,,پژو 206 تیپ ۶,pjw 206 typ 6,بنزینی,سالم,سالم و پلمپ,,,دوررنگ,1.0,اتوماتیک,,450000000.0
17,120000.0,1396.0,سفید,,,پژو 206 تیپ ۵,pjw 206 typ 5,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,9.0,دنده‌ای,هستم,420000000.0
18,1.0,1401.0,نوک‌مدادی,,فروشی,چری آریزو 5IE جدید توربو,chry aryzw 5IE jdyd twrbw,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,اتوماتیک,,220000000.0
19,57000.0,1395.0,نوک‌مدادی,,,پراید 111 SE,pryd 111 SE,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,9.0,دنده‌ای,,260000000.0
20,169000.0,1393.0,سفید,,,لیفان 620 1800cc,lyfn 620 1800cc,,سالم,سالم و پلمپ,,,خط و خش جزیی,1.0,دنده‌ای,هستم,520000000.0
21,35000.0,1399.0,سربی,,,بسترن B30,bstrn B30,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,5.0,اتوماتیک,هستم,280000000.0
22,90000.0,2014.0,سفید,اتو مهری,,کیا اسپورتیج 2400cc,khy spwrtyj 2400cc,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,5.0,اتوماتیک,هستم,400000000.0
23,140000.0,2012.0,مشکی,,فروشی,هیوندای جنسیس سدان,hywndy jnsys sdn,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,7.0,اتوماتیک,,111111111.0
0,136000.0,2009.0,آبی,,,سوبارو لگاسی,swbrw lgsy,,سالم,سالم و پلمپ,,,رنگ‌شدگی,7.0,اتوماتیک,,0.0
1,85000.0,1398.0,سفید,,,پژو 206 تیپ ۵,pjw 206 typ 5,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,3.0,دنده‌ای,,485000000.0
2,500000.0,1387.0,نقره‌ای,,,پراید صندوق‌دار CNG,pryd Sndwqdr CNG,دوگانه‌سوز دستی,سالم,,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی,7.0,دنده‌ای,,170000000.0
3,17000.0,1400.0,قرمز,,,کوییک دنده‌ای R,khwyykh dndhy R,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,4.0,دنده‌ای,,290000000.0
4,188000.0,1387.0,سفید,,,پژو پارس ساده,pjw prs sdh,بنزینی,سالم,سالم و پلمپ,,,صافکاری بی‌رنگ,4.0,دنده‌ای,,288000000.0
5,83000.0,1400.0,زرد,,,سمند LX EF7 گازسوز,smnd LX EF7 gzswz,دوگانه‌سوز شرکتی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,7.0,دنده‌ای,,420000000.0
6,280000.0,1383.0,مشکی,,,پراید صندوق‌دار بنزینی,pryd Sndwqdr bnzyny,دوگانه‌سوز شرکتی,سالم,سالم و پلمپ,,,خط و خش جزیی,6.0,دنده‌ای,,115000000.0
7,340000.0,1389.0,نقره‌ای,,,پراید صندوق‌دار بنزینی,pryd Sndwqdr bnzyny,بنزینی,سالم,سالم و پلمپ,,,دوررنگ,1.0,دنده‌ای,,175000000.0
8,48000.0,1397.0,مشکی,,فروشی,رنو ساندرو استپ‌وی اتوماتیک,rnw sndrw stpwy twmtykh,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,اتوماتیک,,950000000.0
9,224500.0,1381.0,آبی,,,دوو ماتیز,dww mtyz,,سالم,سالم و پلمپ,,,دوررنگ,8.0,دنده‌ای,,120000000.0
10,89000.0,1397.0,تیتانیوم,,,بسترن B30,bstrn B30,,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,5.0,اتوماتیک,,795000000.0
11,270000.0,1386.0,نقره‌ای,,,پژو 405 GLX بنزینی,pjw 405 GLX bnzyny,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,8.0,دنده‌ای,هستم,210000000.0
12,130000.0,1391.0,سفید,,,سمند LX EF7 بنزینی,smnd LX EF7 bnzyny,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,9.0,دنده‌ای,,300000000.0
13,1000.0,1401.0,سفید,,,کوییک دنده‌ای ساده,khwyykh dndhy sdh,بنزینی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,7.0,دنده‌ای,,350000000.0
14,202000.0,1390.0,نوک‌مدادی,,,پراید 131 SX,pryd 131 SX,بنزینی,سالم,سالم و پلمپ,,,خط و خش جزیی,4.0,دنده‌ای,,200000000.0
15,250.0,1386.0,سفید صدفی,,,مزدا 3 مونتاژ تیپ 3,mzd 3 mwntj typ 3,,سالم,سالم و پلمپ,,,رنگ‌شدگی,7.0,اتوماتیک,هستم,720000000.0
16,333600.0,1384.0,یشمی,,,پژو RD دوگانه سوز LPG,pjw RD dwgnh swz LPG,دوگانه‌سوز دستی,سالم,سالم و پلمپ,,,سالم و بی‌خط و خش,1.0,دنده‌ای,,112900000.0
